"Source:","C:\Users\Michal\Documents\GitHub\SmartHome\Thermostat\Receiver_ESP8266\Receiver_ESP8266.kicad_sch"
"Date:","04.01.2023 13:55:27"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","101"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","PROD_ID","Status"
"","","A1","BMP(E)_180(280)","BMP(E)_180(280):BMP(E)_180(280)","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","","","","","","","","","",""
"","","A2","TP4056_Module","TP4056_Module:TP4056_Module","WK_Samec-12pin:TP4056-18650","","","","","","","","","","",""
"","","BT1","Battery","Device:Battery","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","","","","","","","",""
"","","BT2","Battery","Device:Battery","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","","","","","","","",""
"","","C1","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C2","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C3","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C4","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C5","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C6","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C7","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C8","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C9","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
